sample,function,label,source
"No, Look ain't that 'orse going back where?  ",DIR,,real
Oh look Natalie,AS,,real
so the more we communicate hey look we want a change here because you know as it turns out we've wasted a tremendous amount of money on our defense spending in this country,AS,,real
"But then you foil a new project to your expenditure and say look  if you want to do these  as indeed, you've expressed  then it's going to cost you so much",AS,,real
"and I think it's perhaps important to start with that we go with something that's a little bit open-ended that we can review in a years time er, perhaps a little bit later and say well look  we have shown that we can do it valuably er  the proof is in the pudding, it now beholds everybody to do it this way.",AS,,real
"As I say, nowadays I get the information from you over the phone, and then when we've got somebody who said Oh no, it's only a small flat,  I've got this this and this and that's the big pieces of furniture, er if it's somebody that's done it on spec I say Well look give me a ring back in an hour if er when you've come off the phone you er there's something you've forgotten.",AS,,real
"Well look, let's stand back",DM,,real
look you guys are all into car payments we haven't had car payments for so many years i love it this way,AS,,real
"in the, in the sense that i if, if you look,i if you adopt a sort of retrospective view, I E if you look back from say  anything after nineteen forty nine and you say look, hold on erm  this was the final stage of the revolution.",AS,,real
"You know, look, I did a deal with Mrs Thatcher in nineteen eighty six, that I wouldn't open up many of these issues, and if she sticks to the deal, I'll stick to the deal.",AS,,real
"Look, British Library Chambers I beg your pardon.",AS,,real
"erm My inclination would be to those people who phone up and say ‘look, I borrowed your kit and I can't work out whether the red plug goes in the blue hole’ or whatever, to say, ‘Well, tough’you know",AS,,real
Well look er Th this was more or,AS,,real
"I might be saying, look, it doesn't matter what proof I choose but you know, here is an interesting example of it.",AS,,real
Look can we do one show here we're doing two at the moment?,AS,,real
"And er, later of course, he became the American Ambassador of Vienna, so Freud met him, but so, so, Bullett had a personal stake in this, but I must admit, er my own view was, was rather to admire Bullett for his stand, because it's a rare politician who stands up and says look, you know, we've been there, having made promises, we've broken all of them, and we ought to resign, or you ought to resign",AS,,real
"I mean, I can well recall in my own analysis with , of course, for the first six months she said nothing, and I used to get very frustrated, and say, look, what do you think of this?",AS,,real
"Come and say bye-bye to mummy, look, cos she's in a hurry.",AS,,real
"He said, Look, I'm his Dad, what did you pay the others?",AS,,real
Now apparently what happened is I went up to him and said look I might have to do something with it.,AS,,real
"Look, see he's just  he pry trying to brake.",DIR,,real
"Natalie look, look",DIR,,real
i need to go over there and just drive around and look it's,AS,,real
oh look catfish uh personally i like to catch large mouth bass and catfish because they fight the best,INTJ,,real
no apparently not because look how many years they've been doing that and look [laughter] i mean yeah,AS,,real
"Look, there's little snowdrops coming up here ... I've seen ... I looked today, they're coming up.",DIR,,real
"look, look, may I put it this way, we're in the directive of being able to point to something which permits the Secretary of State to delegate the function, that what's it for",DM,,real
Look four shared out between twelve,AS,,real
"Erm two things now have cropped up number one of course is that there's a fair chance within the next year we're gonna lose Bill anyway through civilianisation, and secondly er the fact that er his boss er Rick has said to him, look I don't want you going up a division any more to do erm A L O work, quite reasonably, he's not being funny about it, it's quite reasonable, cos its  mileage.",AS,,real
Look a rural revolution is taking place and it’s being led by the peasantry,AS,,real
"And I said, Okay look, if I'm gonna say something to anybody, I want to have a look  show me what you're talking about.",AS,,real
"realism of the outputs I, I think what you're saying is, look, these might be okay but this one isn't",AS,,real
Look every time we've done it  that's what we also do it goes out on the manager's report w with the minutes or with the agenda.,AS,,real
"n order to ha to achieve one's goals, are you saying that how look well you've just got to assume that they were wrong  that they didn't mean what they said?",AS,,real
Cos Grant's got lots and lots of books and  quite a lot now but she loves books and she takes care of them as well. Look!,DIR,,real
"And their answer of course is, look, here was erm, there's no political or historical reason, because Wilson had all the cards in his hand.",AS,,real
